# Corrected LiDAR trajectory after extrinsic calibration
# timestamp x y theta_in_radians
6.460000 3.240421 0.001159 0.000019
6.470000 3.232713 -0.005078 0.000086
6.480000 3.244867 -0.005571 -0.000100
6.490000 3.250094 -0.006399 -0.000240
6.500000 3.255868 0.002267 -0.000165
6.510000 3.261030 -0.004185 -0.000129
6.520000 3.264322 -0.002557 -0.000108
6.530000 3.271816 -0.006490 -0.000230
6.540000 3.278867 -0.002138 -0.000153
6.550000 3.282375 -0.006368 -0.000219
6.560000 3.284285 -0.000849 -0.000205
6.570000 3.289524 -0.004578 -0.000340
6.580000 3.290648 -0.005709 -0.000086
6.590000 3.298368 -0.001867 -0.000160
6.600000 3.308064 0.001483 -0.000442
6.610000 3.301660 -0.007365 -0.000211
6.620000 3.308774 -0.011238 -0.000156
6.630000 3.320018 -0.001595 -0.000156
6.640000 3.330592 -0.004146 -0.000081
6.650000 3.329257 -0.005951 -0.000115
6.660000 3.329961 0.002470 -0.000222
6.670000 3.340696 -0.004670 -0.000250
6.680000 3.351477 -0.000438 -0.000111
6.690000 3.347771 -0.003315 -0.000043
6.700000 3.347304 0.002128 -0.000074
6.710000 3.356611 -0.006025 -0.000043
6.720000 3.363924 -0.006546 -0.000066
6.730000 3.371748 -0.002068 -0.000226
6.740000 3.377692 -0.007210 -0.000193
6.750000 3.380314 -0.005253 -0.000100
6.760000 3.383352 -0.002444 -0.000162
6.770000 3.390583 0.000041 -0.000051
6.780000 3.398933 0.001766 -0.000140
6.790000 3.400371 -0.006859 0.000143
6.800000 3.405765 -0.012540 -0.000005
6.810000 3.405066 -0.002061 -0.000176
6.820000 3.416285 -0.002415 -0.000032
6.830000 3.412626 -0.002771 -0.000090
6.840000 3.425965 -0.001417 -0.000138
6.850000 3.430525 -0.002367 -0.000090
6.860000 3.439806 -0.002782 -0.000288
6.870000 3.439915 -0.002574 0.000122
6.880000 3.453428 -0.003182 -0.000149
6.890000 3.454940 0.001276 0.000031
6.900000 3.453083 -0.003452 -0.000191
6.910000 3.463353 -0.006028 -0.000229
6.920000 3.467560 0.001488 -0.000247
6.930000 3.465095 0.003631 -0.000015
6.940000 3.479065 -0.004472 -0.000039
6.950000 3.477147 0.001473 -0.000143
6.960000 3.476885 -0.005585 -0.000161
6.970000 3.488071 -0.004229 0.000028
6.980000 3.489860 -0.001653 -0.000294
6.990000 3.501136 -0.005832 -0.000174
7.000000 3.496866 -0.004077 -0.000212
7.010000 3.508544 -0.003011 -0.000063
7.020000 3.516214 -0.000445 -0.000128
7.030000 3.519199 -0.009196 -0.000114
7.040000 3.528216 -0.014223 -0.000127
7.050000 3.525453 -0.001633 -0.000385
7.060000 3.533291 -0.003703 -0.000058
7.070000 3.541250 -0.012033 -0.000342
7.080000 3.548965 -0.002320 -0.000063
7.090000 3.551065 -0.001647 -0.000274
7.100000 3.555172 -0.001824 -0.000377
7.110000 3.558958 0.001211 -0.000149
7.120000 3.566863 0.001560 -0.000040
7.130000 3.566637 -0.002662 -0.000284
7.140000 3.577047 -0.006244 -0.000196
7.150000 3.583203 -0.001957 -0.000053
7.160000 3.588733 -0.004822 -0.000134
7.170000 3.592231 -0.003914 -0.000014
7.180000 3.590857 -0.005776 -0.000100
7.190000 3.599562 -0.003726 -0.000235
7.200000 3.601564 -0.006991 -0.000210
7.210000 3.610217 0.004410 -0.000241
7.220000 3.611532 -0.007454 -0.000224
7.230000 3.626260 0.001734 -0.000224
7.240000 3.621048 -0.004122 -0.000175
